Link,Filtered Data
https://docs.google.com/forms/d/e/1FAIpQLScd7MEPgMA4CbgDI-RDwmdCiCfx-y_UKUXQBQnJiaDf_BSV4g/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['BOTSOC - Contact']}"
https://docs.google.com/forms/d/e/1FAIpQLSd2PCR7NY0VyQvhJFicUr5f7r6lVPlXyKHxdp0V3QjLdT86aQ/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['CSUP - Registrations']}"
https://docs.google.com/forms/d/e/1FAIpQLScVvybZOTt0ALEX12aWdDhBExADLBR89JZflfsjah1n4_pWPw/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['BOTSOC - Donate']}"
https://forms.gle/AB32AMDoQhreimAy6,"{'ORG': ['the Computer Society University of Peradeniya', 'CSUP', 'Hurry & garb'], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['CSUP - Events']}"
https://docs.google.com/forms/d/e/1FAIpQLSe-Epanu_C9VCaP0LdmZE6TE-X5imPga0i0L3hLaawHNWuBwg/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['BOTSOC - Join Us']}"
https://learn.zoom.us/meeting/register/u5MudeqgrDIvEtDmRgo_5ZrI5JrU7UGuE_Ry,"{'ORG': ['University of Peradeniya', 'the Department of Botany, University of Peradeniya Virtual Speaker Series', 'Parma Research and Extension Center', 'University of Idaho', 'International PhD', 'Department of Botany'], 'PERSON': ['Nalin Suranjith', 'Sarangi Athukorala'], 'DATE': ['July 15, 2020', 'later this week', '20400', '4400'], 'TIME': ['09:00 a.m.'], 'GPE': ['USA', 'Peradeniya', 'Sri Lanka'], 'CARDINAL': ['81'], 'TITLE': ['News and Events']}"
https://learn.zoom.us/meeting/register/u5Asd-quqjIiHNd0-1EHLzvCvovsuRoUQEao,"{'ORG': ['University of Peradeniya', 'the Department of Botany, University of Peradeniya Virtual Speaker Series', 'School of Pharmacy', 'Virginia Commonwealth University', 'Department of Botany', 'the Department of Botany, University of Peradeniya', 'the Electronics Laboratory', 'the Department of Chemistry', 'Faculty of Science', 'the Department of Physics', 'Parma Research and Extension Center', 'University of Idaho', 'International PhD'], 'PERSON': ['Nalin Suranjith', 'Sarangi Athukorala', 'Nalin'], 'DATE': ['September 22, 2020', 'this Saturday', 'later this week', 'August 11, 2020', 'Sunday, August 16', 'July 22, 2020', 'July 15, 2020', '20400', '4400'], 'TIME': ['09:00 a.m.'], 'GPE': ['VA, USA', 'New Zealand', 'USA', 'Peradeniya', 'Sri Lanka'], 'CARDINAL': ['81'], 'TITLE': ['News and Events']}"
https://learn.zoom.us/meeting/register/u5YvcuqsrjooGNyG1KqBfSPJgkfkAObgIKKt,"{'ORG': ['University of Peradeniya', 'the Department of Botany, University of Peradeniya', 'Department of Botany'], 'PERSON': ['Nalin', 'Nalin Suranjith', 'Sarangi Athukorala'], 'DATE': ['August 11, 2020', 'Sunday, August 16', 'later this week', '20400', '4400'], 'TIME': ['09:00 a.m.'], 'GPE': ['New Zealand', 'Peradeniya', 'Sri Lanka'], 'CARDINAL': ['81'], 'TITLE': ['News and Events']}"
https://learn.zoom.us/meeting/register/u5Asd-quqjIiHNd0-1EHLzvCvovsuRoUQEao,"{'ORG': ['University of Peradeniya', 'the Department of Botany, University of Peradeniya Virtual Speaker Series', 'School of Pharmacy', 'Virginia Commonwealth University', 'Department of Botany'], 'PERSON': ['Nalin Suranjith', 'Sarangi Athukorala'], 'DATE': ['September 22, 2020', 'this Saturday', 'later this week', '20400', '4400'], 'TIME': [], 'GPE': ['VA, USA', 'Peradeniya', 'Sri Lanka'], 'CARDINAL': ['81'], 'TITLE': ['News and Events']}"
https://learn.zoom.us/meeting/register/u5Asd-quqjIiHNd0-1EHLzvCvovsuRoUQEao,"{'ORG': ['University of Peradeniya', 'the Department of Botany, University of Peradeniya Virtual Speaker Series', 'School of Pharmacy', 'Virginia Commonwealth University', 'Department of Botany', 'the Department of Botany, University of Peradeniya', 'Parma Research and Extension Center', 'University of Idaho', 'International PhD'], 'PERSON': ['Nalin Suranjith', 'Sarangi Athukorala', 'Nalin'], 'DATE': ['September 22, 2020', 'this Saturday', 'later this week', 'August 11, 2020', 'Sunday, August 16', 'July 15, 2020', '20400', '4400'], 'TIME': ['09:00 a.m.'], 'GPE': ['VA, USA', 'New Zealand', 'USA', 'Peradeniya', 'Sri Lanka'], 'CARDINAL': ['81'], 'TITLE': ['News and Events']}"
https://forms.gle/gCwsjSUZqibvReST7,"{'ORG': ['University of Peradeniya', 'the Faculty of Sciences', 'the Quality Assurance Council of UGC', 'the Internal Quality Assurance Unit', 'IQAU', 'UGC'], 'PERSON': [], 'DATE': ['2016', '20400', '4400'], 'TIME': [], 'GPE': ['Peradeniya', 'Sri Lanka'], 'CARDINAL': ['04/2015', '81'], 'TITLE': ['FQAC  - Faculty Quality Assurance Cell']}"
http://meetings.aps.org/Meeting/MAR13/Event/188841,"{'ORG': ['the Department of Physics', 'University of Peradeniya', 'the University of Peradeniya', 'University of Cincinnati, USA', 'Department of Physics', 'Postgraduate Institute of Science, University of Peradeniya', 'University of Cincinnati', 'Nanoscience & Nanotechnology', 'University Safety Committee', 'Chiarman - Faculty Safety Committee', 'Faculty of Science', 'Henry Laws Research Fellowship 2012', 'URC Summer Fellowship 2010', 'Henry Laws Research Fellowship 2010', 'University Prize for Academic Excellence, University of Peradeniya', 'Prize for Physics, University of Peradeniya', 'University Scholarship (Physical Science)'], 'PERSON': ['Visiting Lecturer', 'URC Summer Fellowship 2012', 'C.A. Hewawitharana Memorial', 'A.W. Wolfendale', 'V. Appapillai Prize for'], 'DATE': ['2004', '2006', '2013', '2002/2003'], 'TIME': [], 'GPE': ['Sri Lanka', 'Physics', 'Peradeniya', 'Cincinnati'], 'CARDINAL': ['10/2002'], 'TITLE': ['Karunananda Pemasiri']}"
